,CUSTOMER,cluster,Invoice_date,PROVINCE,CUSTYP,TYPDES,ITEM,QTY,price,PERIOD,paytime,sales
53,1000026,2,2019-07-12,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1060058,4,709.87,7,2019-07-12,2839.48
54,1000026,2,2019-08-02,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1060058,28,709.87,8,2019-08-02,19876.36
55,1000026,2,2019-09-12,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1060058,5,709.87,9,2019-09-12,3549.35
56,1000026,2,2019-12-20,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1060058,2,709.87,12,2019-12-20,1419.74
57,1000026,2,2019-04-10,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1060847,14,596.38,4,2019-04-10,8349.32
58,1000026,2,2019-04-16,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1060847,10,592.17,4,2019-04-16,5921.7
59,1000026,2,2019-08-02,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1060847,4,592.17,8,2019-08-02,2368.68
60,1000026,2,2019-09-03,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1060847,22,592.17,9,2019-09-03,13027.74
61,1000026,2,2019-09-06,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1061172,4,1089.51,9,2019-09-06,4358.04
62,1000026,2,2019-09-06,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1061173,4,1378.01,9,2019-09-06,5512.04
63,1000026,2,2019-03-11,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1061176,1,986.03,3,2019-03-11,986.03
64,1000026,2,2019-04-08,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1061176,1,986.03,4,2019-04-08,986.03
65,1000026,2,2019-07-10,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1061176,1,985.97,7,2019-07-10,985.97
66,1000026,2,2019-11-08,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1061176,2,985.98,11,2019-11-08,1971.96
67,1000026,2,2019-03-11,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1061177,1,1240.34,3,2019-03-11,1240.34
68,1000026,2,2019-04-08,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1061177,1,1240.34,4,2019-04-08,1240.34
69,1000026,2,2019-07-10,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1061177,1,1239.96,7,2019-07-10,1239.96
70,1000026,2,2019-11-08,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1061177,2,1239.96,11,2019-11-08,2479.92
71,1000026,2,2019-07-10,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1061178,1,748.8,7,2019-07-10,748.8
72,1000026,2,2019-11-08,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1061178,4,748.81,11,2019-11-08,2995.24
73,1000026,2,2019-07-10,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1061179,1,770.93,7,2019-07-10,770.93
74,1000026,2,2019-11-08,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1061179,4,770.93,11,2019-11-08,3083.72
75,1000026,2,2019-03-11,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1070646,1,701.55,3,2019-03-11,701.55
76,1000026,2,2019-04-08,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1070646,1,701.55,4,2019-04-08,701.55
77,1000026,2,2019-03-11,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1070647,1,710.17,3,2019-03-11,710.17
78,1000026,2,2019-04-08,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1070647,1,710.17,4,2019-04-08,710.17
79,1000026,2,2019-06-14,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1078498,5,2103.67,6,2019-06-14,10518.35
80,1000026,2,2019-06-10,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1078498,2,2103.67,6,2019-06-10,4207.34
81,1000026,2,2019-04-08,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1207652,2,3399.83,4,2019-04-08,6799.66
82,1000026,2,2019-09-18,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1212017,2,1958.54,9,2019-09-18,3917.08
83,1000026,2,2019-09-18,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1212019,2,2543.5,9,2019-09-18,5087.0
84,1000026,2,2019-09-18,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1212053,1,3386.86,9,2019-09-18,3386.86
85,1000026,2,2019-09-18,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1212071,1,3970.93,9,2019-09-18,3970.93
86,1000026,2,2019-09-25,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1213763,1,2543.49,9,2019-09-25,2543.49
87,1000026,2,2019-09-25,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",1213764,1,2946.15,9,2019-09-25,2946.15
88,1000026,2,2019-03-14,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",2020204,1,614.48,3,2019-03-14,614.48
89,1000026,2,2019-09-25,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",2067169,1,655.88,9,2019-09-25,655.88
90,1000026,2,2019-04-12,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",2099265,4,606.33,4,2019-04-12,2425.32
91,1000026,2,2019-12-26,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",5307083,2,634.65,12,2019-12-26,1269.3
92,1000026,2,2019-04-12,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",5307084,4,617.83,4,2019-04-12,2471.32
93,1000026,2,2019-04-26,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",5307084,1,617.83,4,2019-04-26,617.83
94,1000026,2,2019-04-12,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",6023140,4,1339.07,4,2019-04-12,5356.28
95,1000026,2,2019-04-26,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",6023140,1,1339.07,4,2019-04-26,1339.07
96,1000026,2,2019-12-21,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",6023140,2,1333.76,12,2019-12-21,2667.52
97,1000026,2,2019-09-25,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",6025470,1,1331.11,9,2019-09-25,1331.11
98,1000026,2,2019-08-19,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",6025470,1,1378.01,8,2019-08-19,1378.01
99,1000026,2,2019-05-28,JS,30,"System integrator / EPC (Engineering, Procurement, Construct",6035129,1,1015.18,5,2019-05-28,1015.18
100,1000033,2,2019-06-10,JL,30,"System integrator / EPC (Engineering, Procurement, Construct",1081529,2,8917.83,6,2019-06-10,17835.66
101,1000033,2,2019-05-22,JL,30,"System integrator / EPC (Engineering, Procurement, Construct",1081529,4,8917.83,5,2019-05-22,35671.32
102,1000033,2,2019-09-12,JL,30,"System integrator / EPC (Engineering, Procurement, Construct",1081529,4,8917.83,9,2019-09-12,35671.32
103,1000033,2,2019-12-17,JL,30,"System integrator / EPC (Engineering, Procurement, Construct",1081529,2,8829.34,12,2019-12-17,17658.68
104,1000033,2,2019-09-18,JL,30,"System integrator / EPC (Engineering, Procurement, Construct",1200558,6,2847.04,9,2019-09-18,17082.239999999998
105,1000033,2,2019-09-18,JL,30,"System integrator / EPC (Engineering, Procurement, Construct",1200575,6,3847.04,9,2019-09-18,23082.239999999998
106,1000033,2,2019-09-18,JL,30,"System integrator / EPC (Engineering, Procurement, Construct",2031065,6,661.2,9,2019-09-18,3967.2000000000003
107,1000033,2,2019-05-22,JL,30,"System integrator / EPC (Engineering, Procurement, Construct",2033412,4,1041.73,5,2019-05-22,4166.92
108,1000033,2,2019-06-10,JL,30,"System integrator / EPC (Engineering, Procurement, Construct",2033412,2,1041.73,6,2019-06-10,2083.46
109,1000033,2,2019-09-12,JL,30,"System integrator / EPC (Engineering, Procurement, Construct",2033412,4,1041.73,9,2019-09-12,4166.92
110,1000033,2,2019-11-25,JL,30,"System integrator / EPC (Engineering, Procurement, Construct",2033412,2,1041.73,11,2019-11-25,2083.46
111,1000033,2,2019-05-22,JL,30,"System integrator / EPC (Engineering, Procurement, Construct",6035129,1,997.48,5,2019-05-22,997.48
112,1000033,2,2019-07-18,JL,30,"System integrator / EPC (Engineering, Procurement, Construct",6035129,1,997.48,7,2019-07-18,997.48
113,1000040,2,2019-12-19,GD,10,OEM,1060058,2,716.06,12,2019-12-19,1432.12
114,1000040,2,2019-12-26,GD,10,OEM,1060058,3,716.06,12,2019-12-26,2148.18
115,1000040,2,2019-11-11,GD,10,OEM,1060058,2,716.06,11,2019-11-11,1432.12
116,1000040,2,2019-12-09,GD,10,OEM,1060058,2,716.06,12,2019-12-09,1432.12
117,1000040,2,2019-12-13,GD,10,OEM,1060058,2,716.06,12,2019-12-13,1432.12
118,1000040,2,2019-10-08,GD,10,OEM,1060058,20,716.06,10,2019-10-08,14321.199999999999
119,1000040,2,2019-09-12,GD,10,OEM,1060058,26,716.06,9,2019-09-12,18617.559999999998
120,1000040,2,2019-09-20,GD,10,OEM,1060058,20,716.06,9,2019-09-20,14321.199999999999
121,1000040,2,2019-12-18,GD,10,OEM,1060058,20,716.06,12,2019-12-18,14321.199999999999
122,1000040,2,2019-05-15,GD,10,OEM,1060058,1,716.06,5,2019-05-15,716.06
123,1000040,2,2019-03-13,GD,10,OEM,1060058,26,716.21,3,2019-03-13,18621.46
124,1000040,2,2019-10-30,GD,10,OEM,1060058,26,716.06,10,2019-10-30,18617.559999999998
125,1000040,2,2019-11-07,GD,10,OEM,1060058,4,716.06,11,2019-11-07,2864.24
126,1000040,2,2019-11-08,GD,10,OEM,1060058,25,716.06,11,2019-11-08,17901.5
127,1000040,2,2019-06-25,GD,10,OEM,1060058,2,716.06,6,2019-06-25,1432.12
128,1000040,2,2019-08-09,GD,10,OEM,1060058,1,716.06,8,2019-08-09,716.06
129,1000040,2,2019-10-11,GD,10,OEM,1060058,10,716.06,10,2019-10-11,7160.599999999999
130,1000040,2,2019-12-13,GD,10,OEM,1060058,6,716.06,12,2019-12-13,4296.36
131,1000040,2,2019-12-18,GD,10,OEM,1060058,16,716.06,12,2019-12-18,11456.96
132,1000040,2,2019-06-19,GD,10,OEM,1090999,4,711.64,6,2019-06-19,2846.56
133,1000040,2,2019-07-03,GD,10,OEM,1090999,2,711.64,7,2019-07-03,1423.28
134,1000040,2,2019-12-18,GD,10,OEM,1090999,6,711.64,12,2019-12-18,4269.84
135,1000040,2,2019-05-17,GD,10,OEM,1090999,36,711.64,5,2019-05-17,25619.04
136,1000040,2,2019-03-07,GD,10,OEM,1090999,16,711.9,3,2019-03-07,11390.4
137,1000040,2,2019-06-06,GD,10,OEM,1090999,126,711.64,6,2019-06-06,89666.64
138,1000040,2,2019-11-28,GD,10,OEM,1090999,33,711.64,11,2019-11-28,23484.12
139,1000040,2,2019-09-12,GD,10,OEM,1090999,92,711.64,9,2019-09-12,65470.88
140,1000040,2,2019-01-25,GD,10,OEM,1090999,2,711.9,1,2019-01-25,1423.8
141,1000040,2,2019-01-25,GD,10,OEM,1090999,3,711.9,1,2019-01-25,2135.7
142,1000040,2,2019-01-25,GD,10,OEM,1091035,2,1234.31,1,2019-01-25,2468.62
143,1000040,2,2019-09-11,GD,10,OEM,5307084,6,620.49,9,2019-09-11,3722.94
144,1000040,2,2019-12-13,GD,10,OEM,5307084,8,620.49,12,2019-12-13,4963.92
145,1000040,2,2019-10-30,GD,10,OEM,5307084,14,620.49,10,2019-10-30,8686.86
146,1000040,2,2019-12-09,GD,10,OEM,5307084,3,620.49,12,2019-12-09,1861.47
147,1000040,2,2019-12-13,GD,10,OEM,5307084,3,620.49,12,2019-12-13,1861.47
148,1000040,2,2019-02-26,GD,10,OEM,5307084,17,620.52,2,2019-02-26,10548.84
149,1000040,2,2019-01-02,GD,10,OEM,5307084,35,620.52,1,2019-01-02,21718.2
150,1000040,2,2019-09-27,GD,10,OEM,6034309,2,1586.86,9,2019-09-27,3173.72
151,1000040,2,2019-06-25,GD,10,OEM,6034309,1,1586.86,6,2019-06-25,1586.86
152,1000040,2,2019-09-02,GD,10,OEM,6034309,8,1586.86,9,2019-09-02,12694.88
153,1000040,2,2019-09-11,GD,10,OEM,6034309,12,1586.86,9,2019-09-11,19042.32
154,1000040,2,2019-12-13,GD,10,OEM,6034309,5,1586.86,12,2019-12-13,7934.299999999999
155,1000040,2,2019-12-13,GD,10,OEM,6034309,29,1586.86,12,2019-12-13,46018.939999999995
156,1000040,2,2019-12-19,GD,10,OEM,6034309,1,1586.86,12,2019-12-19,1586.86
157,1000040,2,2019-12-26,GD,10,OEM,6034309,2,1586.86,12,2019-12-26,3173.72
158,1000040,2,2019-01-02,GD,10,OEM,6034309,117,1586.9,1,2019-01-02,185667.30000000002
159,1000040,2,2019-11-07,GD,10,OEM,6034309,2,1586.86,11,2019-11-07,3173.72
160,1000040,2,2019-11-08,GD,10,OEM,6034309,10,1586.86,11,2019-11-08,15868.599999999999
161,1000040,2,2019-12-09,GD,10,OEM,6034309,3,1586.86,12,2019-12-09,4760.58
162,1000040,2,2019-09-12,GD,10,OEM,6034309,13,1586.86,9,2019-09-12,20629.18
163,1000040,2,2019-09-19,GD,10,OEM,6034309,10,1586.86,9,2019-09-19,15868.599999999999
164,1000040,2,2019-09-25,GD,10,OEM,6034309,4,1586.86,9,2019-09-25,6347.44
165,1000040,2,2019-12-18,GD,10,OEM,6034309,21,1586.86,12,2019-12-18,33324.06
166,1000040,2,2019-10-11,GD,10,OEM,6034309,1,1586.86,10,2019-10-11,1586.86
167,1000040,2,2019-06-12,GD,10,OEM,6034309,20,1586.86,6,2019-06-12,31737.199999999997
168,1000040,2,2019-02-26,GD,10,OEM,6034309,16,1586.9,2,2019-02-26,25390.4
169,1000040,2,2019-10-30,GD,10,OEM,6034309,13,1586.86,10,2019-10-30,20629.18
170,1000040,2,2019-10-30,GD,10,OEM,6034309,28,1586.86,10,2019-10-30,44432.079999999994
171,1000040,2,2019-01-25,GD,10,OEM,6045184,2,1089.48,1,2019-01-25,2178.96
172,1000045,2,2019-06-19,HK,20,Enduser,1027377,2,30055.0,6,2019-06-19,60110.0
173,1000045,2,2019-10-17,HK,20,Enduser,1029491,1,36955.0,10,2019-10-17,36955.0
174,1000048,2,2019-04-03,GD,10,OEM,5311688,21,587.76,4,2019-04-03,12342.96
175,1000048,2,2019-04-15,GD,10,OEM,5311688,5,587.74,4,2019-04-15,2938.7
176,1000048,2,2019-01-02,GD,10,OEM,5311688,2,587.76,1,2019-01-02,1175.52
177,1000048,2,2019-04-25,GD,10,OEM,5311688,5,587.74,4,2019-04-25,2938.7
178,1000048,2,2019-05-21,GD,10,OEM,5311688,8,587.74,5,2019-05-21,4701.92
179,1000048,2,2019-09-04,GD,10,OEM,5311688,4,587.74,9,2019-09-04,2350.96
180,1000048,2,2019-09-18,GD,10,OEM,5311688,2,587.75,9,2019-09-18,1175.5
181,1000048,2,2019-09-25,GD,10,OEM,5311688,2,587.75,9,2019-09-25,1175.5
182,1000048,2,2019-07-12,GD,10,OEM,5311688,4,587.74,7,2019-07-12,2350.96
183,1000048,2,2019-10-11,GD,10,OEM,5311688,4,587.74,10,2019-10-11,2350.96
184,1000048,2,2019-04-03,GD,10,OEM,6025615,21,963.62,4,2019-04-03,20236.02
185,1000048,2,2019-04-15,GD,10,OEM,6025615,5,963.85,4,2019-04-15,4819.25
186,1000048,2,2019-01-02,GD,10,OEM,6025615,2,963.62,1,2019-01-02,1927.24
187,1000048,2,2019-04-25,GD,10,OEM,6025615,5,963.85,4,2019-04-25,4819.25
188,1000048,2,2019-05-21,GD,10,OEM,6025615,8,963.85,5,2019-05-21,7710.8
189,1000048,2,2019-07-12,GD,10,OEM,6025615,4,963.85,7,2019-07-12,3855.4
190,1000048,2,2019-09-04,GD,10,OEM,6025615,4,963.85,9,2019-09-04,3855.4
191,1000048,2,2019-09-18,GD,10,OEM,6025615,2,963.85,9,2019-09-18,1927.7
192,1000048,2,2019-09-25,GD,10,OEM,6025615,2,963.85,9,2019-09-25,1927.7
193,1000048,2,2019-10-11,GD,10,OEM,6025615,4,963.85,10,2019-10-11,3855.4
194,1000069,1,2019-06-06,HK,30,"System integrator / EPC (Engineering, Procurement, Construct",6004865,2,560.0,6,2019-06-06,1120.0
195,1000070,2,2019-01-07,SH,10,OEM,1060056,2,744.66,1,2019-01-07,1489.32
196,1000070,2,2019-12-24,SH,10,OEM,1060066,8,908.98,12,2019-12-24,7271.84
197,1000091,2,2019-08-16,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1019972,6,1484.2,8,2019-08-16,8905.2
198,1000091,2,2019-11-22,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1029489,1,16598.36,11,2019-11-22,16598.36
199,1000091,2,2019-12-05,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1029489,1,16598.36,12,2019-12-05,16598.36
200,1000091,2,2019-09-05,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1051487,2,8389.52,9,2019-09-05,16779.04
201,1000091,2,2019-02-26,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1056985,2,13614.48,2,2019-02-26,27228.96
202,1000091,2,2019-02-18,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1056985,1,13614.48,2,2019-02-18,13614.48
203,1000091,2,2019-12-27,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1056985,2,13614.29,12,2019-12-27,27228.58
204,1000091,2,2019-12-16,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1056985,1,13614.29,12,2019-12-16,13614.29
205,1000091,2,2019-05-09,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1059966,10,662.08,5,2019-05-09,6620.8
206,1000091,2,2019-08-27,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1059966,10,662.08,8,2019-08-27,6620.8
207,1000091,2,2019-01-16,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060065,3,770.52,1,2019-01-16,2311.56
208,1000091,2,2019-03-05,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060065,10,770.52,3,2019-03-05,7705.2
209,1000091,2,2019-06-10,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060065,2,770.93,6,2019-06-10,1541.86
210,1000091,2,2019-06-10,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060065,2,770.93,6,2019-06-10,1541.86
211,1000091,2,2019-05-07,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060065,3,770.93,5,2019-05-07,2312.79
212,1000091,2,2019-06-12,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060065,14,770.93,6,2019-06-12,10793.019999999999
213,1000091,2,2019-09-10,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060065,9,770.93,9,2019-09-10,6938.37
214,1000091,2,2019-09-10,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060065,31,770.93,9,2019-09-10,23898.829999999998
215,1000091,2,2019-09-27,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060065,20,770.93,9,2019-09-27,15418.599999999999
216,1000091,2,2019-11-12,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060065,6,770.93,11,2019-11-12,4625.58
217,1000091,2,2019-11-20,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060065,41,770.93,11,2019-11-20,31608.129999999997
218,1000091,2,2019-12-10,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060065,7,770.93,12,2019-12-10,5396.509999999999
219,1000091,2,2019-06-05,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060065,6,770.93,6,2019-06-05,4625.58
220,1000091,2,2019-07-09,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060065,22,770.93,7,2019-07-09,16960.46
221,1000091,2,2019-07-15,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060065,4,770.93,7,2019-07-15,3083.72
222,1000091,2,2019-08-12,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060065,13,770.93,8,2019-08-12,10022.09
223,1000091,2,2019-09-05,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060065,34,770.93,9,2019-09-05,26211.62
224,1000091,2,2019-09-06,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060065,18,770.93,9,2019-09-06,13876.74
225,1000091,2,2019-05-21,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060846,2,636.42,5,2019-05-21,1272.84
226,1000091,2,2019-06-05,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060846,20,636.42,6,2019-06-05,12728.4
227,1000091,2,2019-09-27,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060846,70,636.42,9,2019-09-27,44549.399999999994
228,1000091,2,2019-09-27,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060846,50,636.42,9,2019-09-27,31820.999999999996
229,1000091,2,2019-09-27,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060846,100,636.42,9,2019-09-27,63641.99999999999
230,1000091,2,2019-12-05,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1060846,100,636.42,12,2019-12-05,63641.99999999999
231,1000091,2,2019-03-19,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1061176,1,988.62,3,2019-03-19,988.62
232,1000091,2,2019-03-19,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1061177,1,1328.28,3,2019-03-19,1328.28
233,1000091,2,2019-04-08,GD,30,"System integrator / EPC (Engineering, Procurement, Construct",1062566,12,716.95,4,2019-04-08,8603.400000000001
